Timestamp,Device Name,MessageType,Data
2025-09-03 13:00:52.465813,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:52.512025,room0 Display1,Command,'Connect'
2025-09-03 13:00:52.605173,room0 Display3,Command,'Connect'
2025-09-03 13:00:52.648732,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:52.693507,room0 Display4,Command,'Connect'
2025-09-03 13:00:52.693507,room0 Display8,Command,'Connect'
2025-09-03 13:00:54.227988,room0 Display10,Command,'Connect'
2025-09-03 13:00:54.275279,Annotator,Command,'Connect'
2025-09-03 13:00:54.336086,room0 Display7,Command,'Connect'
2025-09-03 13:00:54.382514,room0 Display9,Command,'Connect'
2025-09-03 13:00:54.458047,room0 Audio DSP,Command,'Connect'
2025-09-03 13:00:54.585316,room0 Display12,Command,'Connect'
2025-09-03 13:00:54.647648,room0 Display6,Command,'Connect'
2025-09-03 13:00:54.693375,room0 Display11,Command,'Connect'
2025-09-03 13:00:54.831679,room0 Display14,Command,'Connect'
2025-09-03 13:00:54.877650,room0 ULX Mic2,Command,'Connect'
2025-09-03 13:00:54.939545,room0 ULX Mic1,Command,'Connect'
2025-09-03 13:00:55.496124,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:00:55.496124,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:00:55.496124,room0 Video Conferencer,Command,'UpdateRegistration,None'
2025-09-03 13:00:55.496124,room0 Video Conferencer,API,To Device,'callstate get\r'
2025-09-03 13:00:55.496124,room0 Video Conferencer,Command,'UpdateMeetingStatus,None'
2025-09-03 13:00:56.504487,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:00:56.504487,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:00:56.858926,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:00:56.920570,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:00:59.182496,Annotator,Command,'UpdatePowerSaveMode,None'
2025-09-03 13:00:59.733733,room0 Video Switcher,Command,"UpdateVideoMuteDecoder,{'ID': '1'}"
2025-09-03 13:01:00.543698,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:01:00.543698,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:01:00.543698,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:01:00.543698,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:01:00.744348,room0 Video Switcher,API,To Device,'w3cv\r\n'
2025-09-03 13:01:00.744348,room0 Video Switcher,API,To Device,'{1o:B\r}\r'
2025-09-03 13:01:01.751697,room0 Display13,Command,'Connect'
2025-09-03 13:01:01.920941,room0 Display2,Command,'Connect'
2025-09-03 13:01:02.014377,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:01:02.094058,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:01:02.109473,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:01:02.295231,room0 Display5,Command,'Connect'
2025-09-03 13:01:02.636710,room0 Display1,Command,'Connect'
2025-09-03 13:01:02.713334,room0 Display3,Command,'Connect'
2025-09-03 13:01:02.759586,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:01:02.805861,room0 Display8,Command,'Connect'
2025-09-03 13:01:02.852569,room0 Display4,Command,'Connect'
2025-09-03 13:01:04.296777,room0 Display10,Command,'Connect'
2025-09-03 13:01:04.358552,Annotator,Command,'Connect'
2025-09-03 13:01:04.421211,room0 Display7,Command,'Connect'
2025-09-03 13:01:04.467931,room0 Display9,Command,'Connect'
2025-09-03 13:01:04.545834,room0 Audio DSP,Command,'Connect'
2025-09-03 13:01:04.560925,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:01:04.560925,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
2025-09-03 13:01:04.654092,room0 Display12,Command,'Connect'
2025-09-03 13:01:04.745694,room0 Display6,Command,'Connect'
2025-09-03 13:01:04.791782,room0 Display11,Command,'Connect'
2025-09-03 13:01:04.931908,room0 Display14,Command,'Connect'
2025-09-03 13:01:04.977982,room0 ULX Mic2,Command,'Connect'
2025-09-03 13:01:05.024734,room0 ULX Mic1,Command,'Connect'
2025-09-03 13:01:05.571924,room0 Video Conferencer,Command,'UpdateIPAddress,None'
2025-09-03 13:01:05.571924,room0 Video Conferencer,API,To Device,'ipaddress get\r\n'
2025-09-03 13:01:07.258804,room0 MediaPort 1,Command,'Connect'
2025-09-03 13:01:07.335202,room0 MediaPort 2,Command,'Connect'
2025-09-03 13:01:08.585367,room0 Video Conferencer,Command,'UpdateVideoContentSource,None'
2025-09-03 13:01:08.585367,room0 Video Conferencer,API,To Device,'vcbutton source get\r'
